name,credit,department,language,charge
5G / 6G Software Networks,6,34335400 FG S-Professur Architekturen der Vermittlungsknoten,en,"Magedanz, Thomas"
5G Evolution / 6G Project,9,34335400 FG S-Professur Architekturen der Vermittlungsknoten,en,"Magedanz, Thomas"
Acquisition and Analysis of Neural Data,12,34351300 FG Neuronale Informationsverarbeitung,en,"Obermayer, Klaus"
Advanced Algorithmics,9,34351100 FG Algorithmik und Komplexitätstheorie,en,"Nichterlein, André"
Advanced Analog Integrated Circuits and Systems (AAIC) (12 LP),12,34341200 FG Mixed Signal Circuit Design,de,"Gerfers, Friedel"
Advanced Blockchain Prototyping,12,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),en,"Tai, Stefan"
Advanced Cloud Prototyping,12,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),en,"Tai, Stefan"
Advanced Computer Architecture,6,34341400 FG Architektur eingebetteter Systeme,en,"Juurlink, Bernardus"
Advanced Distributed Systems Prototyping,12,34361700 FG Scalable Software Systems,en,"Bermbach, David"
Advanced Media Technologies,12,34332300 FG Open Distributed Systems (ODS),en,"Hauswirth, Manfred"
Advanced Privacy Prototyping,12,34361400 FG Wirtschaftsinformatik - Information Systems Engineering (ISE),en,"Pallas, Frank"
Advanced Python Programming for Deep Learning in Earth Observation,9,34342200 FG Remote Sensing Image Analysis,en,"Demir, Begüm"
Advanced Topics in Networked and Distributed Systems,3,34331700 FG Intelligent Networks and Management of Distributed Systems (INET),en,"Schmid, Stefan"
Advanced Topics in Scalable Software Systems,3,34361700 FG Scalable Software Systems,en,"Bermbach, David"
Advanced Wireless Communications,6,34331600 FG Theoretische Grundlagen der Kommunikationstechnik,en,"Caire, Giuseppe"
Adversarial Machine Learning,6,34353000 FG Maschinelles Lernen und IT-Sicherheit,en,"Rieck, Konrad"
AES Bachelor-Projekt,6,34341400 FG Architektur eingebetteter Systeme,de,"Juurlink, Bernardus"
Agent Competition: RoboCup,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
Agententechnologien: Grundlagen und Anwendungen,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),de,"Albayrak, Sahin"
AI and Cybersecurity,6,34361200 FG Agententechnologien in betrieblichen Anwendungen und der Telekommunikation (AOT),en,"Albayrak, Sahin"
AI and Robotics: Lab Course,6,34342100 FG Intelligent Systems,en,"Toussaint, Marc"
AI and Robotics: Research,3,34342100 FG Intelligent Systems,en,"Toussaint, Marc"
AI Engineering of Nanonetworks,6,34331200 FG Telekommunikationsnetze,en,"Dressler, Falko"
Aktuelle Forschung an Energiewandlern und Energiespeichern,3,34312100 FG Elektrische Energiespeichertechnik (EET),de,"Kowal, Julia"
Aktuelle Forschung in KI & Robotik,3,34342100 FG Intelligent Systems,de,"Toussaint, Marc"
Aktuelle Themen der Algorithmik,3,34351100 FG Algorithmik und Komplexitätstheorie,de,"Nichterlein, André"
Aktuelle Themen in visueller Wahrnehmungsforschung,3,34341900 FG Computational Psychology,de,"Maertens, Marianne"
